rating,title,author,date,helpful_votes,clean_review,pos_counts,constituency_tree,dependency_tree,named_entities
9.0,"Across the Universe Of Fun, Excellence, and Adventure: Spider-Man Makes A Connected Web Of Wow",rgkarim,"Jun 2, 2023",,across univers fun excel adventur spiderman make connect web wow,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('univers fun', 'pobj', 'across'), ('adventur spiderman', 'nsubj', 'make'), ('connect web', 'dobj', 'make')]","[('across', 'prep', 'make'), ('univers', 'compound', 'fun'), ('fun', 'pobj', 'across'), ('excel', 'pobj', 'across'), ('adventur', 'compound', 'spiderman'), ('spiderman', 'nsubj', 'make'), ('make', 'ROOT', 'make'), ('connect', 'amod', 'web'), ('web', 'dobj', 'make'), ('wow', 'intj', 'make')]",{}
8.0,Spider-man: Middle of the Spider-Verse,matris1,"Jun 3, 2023",,spiderman middl spidervers,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spiderman middl spidervers', 'ROOT', 'spidervers')]","[('spiderman', 'compound', 'spidervers'), ('middl', 'compound', 'spidervers'), ('spidervers', 'ROOT', 'spidervers')]",{'PERSON': 1}
6.0,Are people crazy?,armagh-97917,"Jun 16, 2023",,peopl crazi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('peopl crazi', 'ROOT', 'crazi')]","[('peopl', 'compound', 'crazi'), ('crazi', 'ROOT', 'crazi')]",{'PERSON': 1}
6.0,Over Hyped,jimmystz,"Jun 8, 2023",,hype,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('hype', 'ROOT', 'hype')]","[('hype', 'ROOT', 'hype')]",{}
5.0,Disappointing,daralad,"Jun 18, 2023",,disappoint,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('disappoint', 'ROOT', 'disappoint')]",{}
10.0,The multiverse has opened the doors to the Spiderverse,gabethedinosaur,"Jun 2, 2023",,multivers open door spidervers,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('multivers', 'nsubj', 'open'), ('door spidervers', 'dobj', 'open')]","[('multivers', 'nsubj', 'open'), ('open', 'ROOT', 'open'), ('door', 'compound', 'spidervers'), ('spidervers', 'dobj', 'open')]",{}
10.0,Completely exceeded my expectations,heyrandom,"Jun 1, 2023",,complet exceed expect,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('complet', 'nsubj', 'expect')]","[('complet', 'nsubj', 'expect'), ('exceed', 'aux', 'expect'), ('expect', 'ROOT', 'expect')]",{}
10.0,Discover the Spiderverse in the biggest way and most wonderful way possible!,Ratingzzz,"May 31, 2023",,discov spidervers biggest way wonder way possibl,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('biggest way wonder way possibl', 'dobj', 'spidervers')]","[('discov', 'advmod', 'spidervers'), ('spidervers', 'ROOT', 'spidervers'), ('biggest', 'amod', 'wonder'), ('way', 'compound', 'wonder'), ('wonder', 'compound', 'way'), ('way', 'compound', 'possibl'), ('possibl', 'dobj', 'spidervers')]",{}
8.0,Half of a movie,FeastMode,"Jun 2, 2023",,half movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('half movi', 'ROOT', 'movi')]","[('half', 'compound', 'movi'), ('movi', 'ROOT', 'movi')]",{'CARDINAL': 1}
10.0,This makes the MCU look like hot garbage!!,llambeth1,"Jun 2, 2023",,make mcu look like hot garbag,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mcu', 'nsubj', 'look'), ('hot garbag', 'pobj', 'like')]","[('make', 'ROOT', 'make'), ('mcu', 'nsubj', 'look'), ('look', 'ccomp', 'make'), ('like', 'prep', 'look'), ('hot', 'amod', 'garbag'), ('garbag', 'pobj', 'like')]",{}
10.0,A worthy follow-up to perfection.,shrikrishnasriram,"Jun 1, 2023",,worthi followup perfect,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('worthi followup', 'ROOT', 'followup')]","[('worthi', 'compound', 'followup'), ('followup', 'ROOT', 'followup'), ('perfect', 'amod', 'followup')]",{}
7.0,My feelings about this sequel are currently glitching,cricketbat,"Jun 1, 2023",,feel sequel current glitch,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('feel', 'ROOT', 'feel'), ('sequel', 'amod', 'glitch'), ('current', 'amod', 'glitch'), ('glitch', 'npadvmod', 'feel')]",{}
,"Slow, overlong, and cliched",TheBigSick,"Jun 10, 2023",,slow overlong clich,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('slow overlong clich', 'ROOT', 'clich')]","[('slow', 'amod', 'clich'), ('overlong', 'compound', 'clich'), ('clich', 'ROOT', 'clich')]",{}
10.0,The best animation i ever saw,frixysteam,"Aug 10, 2023",,best anim ever saw,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best anim', 'nsubj', 'saw')]","[('best', 'amod', 'anim'), ('anim', 'nsubj', 'saw'), ('ever', 'advmod', 'saw'), ('saw', 'ROOT', 'saw')]",{}
6.0,This is one of the most overhyped movies I have ever watched.,DeadMansTrousers,"Jun 14, 2023",,one overhyp movi ever watch,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one overhyp movi', 'nsubj', 'watch')]","[('one', 'nummod', 'movi'), ('overhyp', 'compound', 'movi'), ('movi', 'nsubj', 'watch'), ('ever', 'advmod', 'watch'), ('watch', 'ROOT', 'watch')]",{'CARDINAL': 1}
5.0,"I felt like I was going to have a Seizure, while pushing through Lazy Writing.",cstull91,"Jun 8, 2023",,felt like go seizur push lazi write,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('seizur push lazi write', 'nsubj', 'go')]","[('felt', 'ROOT', 'felt'), ('like', 'intj', 'felt'), ('go', 'pcomp', 'like'), ('seizur', 'amod', 'lazi'), ('push', 'compound', 'lazi'), ('lazi', 'compound', 'write'), ('write', 'nsubj', 'go')]",{}
10.0,Masterpiece,chapterfourax,"Jul 14, 2023",,masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('masterpiec', 'ROOT', 'masterpiec')]","[('masterpiec', 'ROOT', 'masterpiec')]",{}
10.0,A Mind-Bending Masterpiece!,digitalbablukumar,"Oct 1, 2023",,mindbend masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('masterpiec', 'dobj', 'mindbend')]","[('mindbend', 'ROOT', 'mindbend'), ('masterpiec', 'dobj', 'mindbend')]",{}
10.0,One of the Best Films in Recent Memory,rollercoasterfan-88274,"Aug 22, 2023",,one best film recent memori,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one best film recent memori', 'ROOT', 'memori')]","[('one', 'nummod', 'film'), ('best', 'amod', 'film'), ('film', 'npadvmod', 'recent'), ('recent', 'amod', 'memori'), ('memori', 'ROOT', 'memori')]",{'CARDINAL': 1}
10.0,New sequel explores what made the first film groundbreaking.,28abir,"Jul 2, 2023",,new sequel explor made first film groundbreak,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('new sequel explor', 'nsubj', 'made'), ('first film groundbreak', 'dobj', 'made')]","[('new', 'amod', 'explor'), ('sequel', 'compound', 'explor'), ('explor', 'nsubj', 'made'), ('made', 'ROOT', 'made'), ('first', 'amod', 'groundbreak'), ('film', 'compound', 'groundbreak'), ('groundbreak', 'dobj', 'made')]",{'ORDINAL': 1}
10.0,BEAUTIFUL 😍😍😍,kpatricio-61200,"Jun 23, 2023",,beauti,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('beauti', 'ROOT', 'beauti')]","[('beauti', 'ROOT', 'beauti')]",{'CARDINAL': 1}
10.0,Best movie of the decade.,mrkmil,"Jun 29, 2023",,best movi decad,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best movi decad', 'ROOT', 'decad')]","[('best', 'amod', 'movi'), ('movi', 'compound', 'decad'), ('decad', 'ROOT', 'decad')]",{}
7.0,Visual Overstimulation,mrbledsoe53,"Jun 3, 2023",,visual overstimul,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('visual overstimul', 'ROOT', 'overstimul')]","[('visual', 'amod', 'overstimul'), ('overstimul', 'ROOT', 'overstimul')]",{}
10.0,WATCH AS SOON AS POSSIBLE!,Watchingallformsofmedia,"Aug 8, 2023",,watch soon possibl,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('watch', 'ROOT', 'watch'), ('soon', 'advmod', 'possibl'), ('possibl', 'dobj', 'watch')]",{}
7.0,Audible groan from the cinema when it finished,georgetbarber,"Jun 2, 2023",,audibl groan cinema finish,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('audibl groan cinema finish', 'ROOT', 'finish')]","[('audibl', 'amod', 'finish'), ('groan', 'compound', 'cinema'), ('cinema', 'compound', 'finish'), ('finish', 'ROOT', 'finish')]",{'PERSON': 1}
10.0,Best spider-man movie,tjohnson-07046,"Jul 3, 2023",,best spiderman movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best spiderman movi', 'ROOT', 'movi')]","[('best', 'amod', 'movi'), ('spiderman', 'compound', 'movi'), ('movi', 'ROOT', 'movi')]",{}
10.0,This Spider Man Animation Movie Are So Masterpiece!!,lawalker-01773,"Aug 8, 2023",,spider man anim movi masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spider man anim movi masterpiec', 'ROOT', 'masterpiec')]","[('spider', 'compound', 'movi'), ('man', 'compound', 'anim'), ('anim', 'compound', 'movi'), ('movi', 'compound', 'masterpiec'), ('masterpiec', 'ROOT', 'masterpiec')]",{}
10.0,Master piece!!,erikacelis,"Jun 4, 2023",,master piec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('master piec', 'ROOT', 'piec')]","[('master', 'compound', 'piec'), ('piec', 'ROOT', 'piec')]",{}
10.0,Absolutely gorgeous inside and out,pmvmr,"Jun 5, 2023",,absolut gorgeou insid,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('absolut', 'ROOT', 'absolut'), ('gorgeou', 'dobj', 'absolut')]","[('absolut', 'ROOT', 'absolut'), ('gorgeou', 'dobj', 'absolut'), ('insid', 'advmod', 'absolut')]",{'PERSON': 1}
10.0,Best Movie of 2023 so far!,shaikhabdulwasee,"Jul 1, 2023",,best movi far,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best movi', 'ROOT', 'movi')]","[('best', 'amod', 'movi'), ('movi', 'ROOT', 'movi'), ('far', 'advmod', 'movi')]",{}
10.0,A Perfect Sequel,bencheek-32813,"Aug 8, 2023",,perfect sequel,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('perfect sequel', 'ROOT', 'sequel')]","[('perfect', 'amod', 'sequel'), ('sequel', 'ROOT', 'sequel')]",{}
6.0,"Decent, nowhere as good as the first",jenkinscammy,"Jun 7, 2023",,decent nowher good first,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('decent', 'amod', 'nowher'), ('nowher', 'compound', 'good'), ('good', 'ROOT', 'good'), ('first', 'advmod', 'good')]",{'ORDINAL': 1}
10.0,The Best Cinecomic that will change your life.,charloswee,"Jun 24, 2023",,best cinecom chang life,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best cinecom chang life', 'ROOT', 'life')]","[('best', 'advmod', 'life'), ('cinecom', 'compound', 'chang'), ('chang', 'compound', 'life'), ('life', 'ROOT', 'life')]",{'PERSON': 1}
7.0,"Wanted to Love it, But Just Liked it",JayWolfgramm,"Jun 11, 2023",,want love like,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('love', 'dobj', 'want')]","[('want', 'ROOT', 'want'), ('love', 'dobj', 'want'), ('like', 'prep', 'want')]",{}
4.0,Perhaps not for everyone.,planktonrules,"Jun 21, 2023",,perhap everyon,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('perhap everyon', 'ROOT', 'everyon')]","[('perhap', 'compound', 'everyon'), ('everyon', 'ROOT', 'everyon')]",{}
10.0,"One of those movies you won't forget in a really, REALLY long time!",safayet_shawon,"Aug 10, 2023",,one movi wont forget realli realli long time,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one movi', 'nsubj', 'forget'), ('realli realli', 'dobj', 'forget')]","[('one', 'nummod', 'movi'), ('movi', 'nsubj', 'forget'), ('wo', 'aux', 'forget'), ('nt', 'neg', 'forget'), ('forget', 'ROOT', 'forget'), ('realli', 'compound', 'realli'), ('realli', 'dobj', 'forget'), ('long', 'amod', 'time'), ('time', 'npadvmod', 'forget')]",{'CARDINAL': 1}
10.0,Best spider-man I've seen,aravinds-98609,"Jun 4, 2023",,best spiderman ive seen,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best spiderman', 'ROOT', 'spiderman'), ('i', 'nsubj', 'seen')]","[('best', 'amod', 'spiderman'), ('spiderman', 'ROOT', 'spiderman'), ('i', 'nsubj', 'seen'), ('ve', 'aux', 'seen'), ('seen', 'relcl', 'spiderman')]",{}
9.0,One of the best Spider Man movies,jaspercobar,"Jun 25, 2023",,one best spider man movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one best spider man movi', 'ROOT', 'movi')]","[('one', 'nummod', 'movi'), ('best', 'amod', 'movi'), ('spider', 'compound', 'man'), ('man', 'compound', 'movi'), ('movi', 'ROOT', 'movi')]",{'CARDINAL': 1}
10.0,One of my favourite movie !!,brijbinisy,"Jul 4, 2023",,one favourit movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one favourit movi', 'ROOT', 'movi')]","[('one', 'nummod', 'movi'), ('favourit', 'compound', 'movi'), ('movi', 'ROOT', 'movi')]","{'CARDINAL': 1, 'ORG': 1}"
10.0,Spider Gwen,hucken,"Aug 8, 2023",,spider gwen,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spider gwen', 'ROOT', 'gwen')]","[('spider', 'compound', 'gwen'), ('gwen', 'ROOT', 'gwen')]",{}
10.0,Probably better than the 1st,tink-28108,"Jun 29, 2023",,probabl better st,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('probabl better st', 'ROOT', 'st')]","[('probabl', 'amod', 'st'), ('better', 'advmod', 'probabl'), ('st', 'ROOT', 'st')]",{}
6.0,Many theater goers walked out before ending,pressboard,"Jun 15, 2023",,mani theater goer walk end,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mani theater goer walk end', 'ROOT', 'end')]","[('mani', 'compound', 'goer'), ('theater', 'compound', 'goer'), ('goer', 'compound', 'end'), ('walk', 'compound', 'end'), ('end', 'ROOT', 'end')]",{}
10.0,The goat,enzoenerpoint,"Jun 5, 2023",,goat,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('goat', 'ROOT', 'goat')]","[('goat', 'ROOT', 'goat')]",{}
6.0,Managed to be both overlong and incomplete,will-howlett,"Jun 2, 2023",,manag overlong incomplet,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('manag overlong', 'nsubj', 'incomplet')]","[('manag', 'compound', 'overlong'), ('overlong', 'nsubj', 'incomplet'), ('incomplet', 'ROOT', 'incomplet')]",{}
5.0,Most overrated movie of all time,jjakum-96413,"Jun 6, 2023",,overr movi time,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('overr', 'ROOT', 'overr'), ('movi', 'compound', 'time'), ('time', 'npadvmod', 'overr')]",{}
10.0,Only downside.,krisssannn,"Jun 5, 2023",,downsid,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('downsid', 'ROOT', 'downsid')]","[('downsid', 'ROOT', 'downsid')]",{}
10.0,Phenomenal!,tiffanyalana,"Jun 2, 2023",,phenomen,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('phenomen', 'ROOT', 'phenomen')]","[('phenomen', 'ROOT', 'phenomen')]",{}
10.0,Spider-Man: Across the Spider-Verse is great movie SPOLIER,ashishzoom-84965,"Jun 2, 2023",,spiderman across spidervers great movi spolier,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spiderman', 'nsubj', 'spolier'), ('spidervers', 'pobj', 'across')]","[('spiderman', 'nsubj', 'spolier'), ('across', 'prep', 'spiderman'), ('spidervers', 'pobj', 'across'), ('great', 'amod', 'spolier'), ('movi', 'compound', 'spolier'), ('spolier', 'ROOT', 'spolier')]",{}
10.0,This movie is PEAK! MASTERPIECE!,axelsson11,"Jun 8, 2023",,movi peak masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('movi peak masterpiec', 'ROOT', 'masterpiec')]","[('movi', 'compound', 'peak'), ('peak', 'compound', 'masterpiec'), ('masterpiec', 'ROOT', 'masterpiec')]",{}
10.0,Across the Spider-Verse (wow),alfiegmc,"Jun 3, 2023",,across spidervers wow,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spidervers', 'pobj', 'across')]","[('across', 'ROOT', 'across'), ('spidervers', 'pobj', 'across'), ('wow', 'punct', 'across')]",{}
10.0,"Best spidey movie ever, AND ITS ONLY PART ONE!",christianyogendran-15663,"Jul 9, 2023",,best spidey movi ever part one,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best spidey movi', 'nsubj', 'part')]","[('best', 'amod', 'movi'), ('spidey', 'compound', 'movi'), ('movi', 'nsubj', 'part'), ('ever', 'advmod', 'part'), ('part', 'ROOT', 'part'), ('one', 'nummod', 'part')]",{}
7.0,"Fine, but definitely doesn't deserve a rating of 9.1.",akseliiikonen,"Jun 1, 2023",,fine definit doesnt deserv rate,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('fine definit', 'nsubj', 'rate')]","[('fine', 'amod', 'definit'), ('definit', 'nsubj', 'rate'), ('does', 'aux', 'rate'), ('nt', 'neg', 'rate'), ('deserv', 'compound', 'rate'), ('rate', 'ROOT', 'rate')]",{}
10.0,"Thank You, Sony.",nsmittyfilms,"Jun 6, 2023",,thank soni,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('thank', 'ROOT', 'thank'), ('soni', 'dobj', 'thank')]",{}
7.0,My Review,mminer237,"Nov 18, 2024",,review,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('review', 'ROOT', 'review')]","[('review', 'ROOT', 'review')]",{}
2.0,Nowhere near as good as the previous! Big disappointment!,flavours_ignobleo,"Jan 3, 2024",,nowher near good previou big disappoint,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nowher', 'ROOT', 'nowher'), ('good previou big disappoint', 'pobj', 'near')]","[('nowher', 'ROOT', 'nowher'), ('near', 'prep', 'nowher'), ('good', 'amod', 'previou'), ('previou', 'nmod', 'disappoint'), ('big', 'amod', 'disappoint'), ('disappoint', 'pobj', 'near')]",{}
10.0,WOW,matthewdewey-33976,"Jun 4, 2023",,wow,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('wow', 'ROOT', 'wow')]",{}
10.0,Spider-Man: Across the Spider-Verse (2023) Review,pastirmaa,"Jun 5, 2023",,spiderman across spidervers review,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('spiderman', 'nsubj', 'review'), ('spidervers', 'pobj', 'across')]","[('spiderman', 'nsubj', 'review'), ('across', 'prep', 'spiderman'), ('spidervers', 'pobj', 'across'), ('review', 'ROOT', 'review')]",{}
10.0,Beyond Spectacular and Beyond Amazing,JaredLegend,"May 31, 2023",,beyond spectacular beyond amaz,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('beyond', 'ROOT', 'beyond'), ('spectacular', 'pobj', 'beyond'), ('beyond', 'prep', 'beyond'), ('amaz', 'pcomp', 'beyond')]",{}
10.0,A perfect sequel to a perfect movie.,rofepa,"Jun 6, 2023",,perfect sequel perfect movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('perfect sequel perfect movi', 'ROOT', 'movi')]","[('perfect', 'amod', 'movi'), ('sequel', 'nmod', 'movi'), ('perfect', 'amod', 'movi'), ('movi', 'ROOT', 'movi')]",{}
9.0,The greatest animated film of all time.,ethiotst-53110,"Jun 5, 2023",,greatest anim film time,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('greatest anim film time', 'ROOT', 'time')]","[('greatest', 'amod', 'time'), ('anim', 'compound', 'time'), ('film', 'compound', 'time'), ('time', 'ROOT', 'time')]",{}
10.0,It's not a movie about characters from the comics - it's a comics book made into a movie,ayoreinf,"Jun 4, 2023",,movi charact comic comic book made movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('movi', 'nsubj', 'charact'), ('comic comic book', 'dobj', 'charact'), ('movi', 'dobj', 'made')]","[('movi', 'nsubj', 'charact'), ('charact', 'nsubj', 'made'), ('comic', 'amod', 'book'), ('comic', 'amod', 'book'), ('book', 'dobj', 'charact'), ('made', 'ROOT', 'made'), ('movi', 'dobj', 'made')]",{'ORG': 1}
6.0,All over the place,hobgoblinlol,"Aug 8, 2023",,place,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('place', 'ROOT', 'place')]","[('place', 'ROOT', 'place')]",{}
10.0,A movie worth every penny and time you spend,Blashma,"Jun 1, 2023",,movi worth everi penni time spend,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('movi', 'nsubj', 'spend')]","[('movi', 'nsubj', 'spend'), ('worth', 'amod', 'movi'), ('everi', 'amod', 'time'), ('penni', 'compound', 'time'), ('time', 'npadvmod', 'worth'), ('spend', 'ROOT', 'spend')]",{'PERSON': 1}
6.0,Not great but it's good.,tavismelvin,"Jun 5, 2023",,great good,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('great', 'amod', 'good'), ('good', 'ROOT', 'good')]",{}
